month_date,time_idx,deaths,year,month,series_id,fear_score_yearly_mean,fear_score_yearly_mean_lag1,feature_std,feature_lag1_std
1778-04-01,940,1523.0,1778,4,London,0.6811266212627806,0.6751806963057745,1.3031127197744177,0.2770908268276322
1778-05-01,941,1545.0,1778,5,London,0.6811266212627806,0.6751806963057745,1.3031127197744177,0.2770908268276322
1778-06-01,942,1502.0,1778,6,London,0.6811266212627806,0.6751806963057745,1.3031127197744177,0.2770908268276322
1778-07-01,943,1519.0,1778,7,London,0.6811266212627806,0.6751806963057745,1.3031127197744177,0.2770908268276322
1778-08-01,944,1766.0,1778,8,London,0.6811266212627806,0.6751806963057745,1.3031127197744177,0.2770908268276322
1778-09-01,945,1440.0,1778,9,London,0.6811266212627806,0.6751806963057745,1.3031127197744177,0.2770908268276322
1778-10-01,946,1419.0,1778,10,London,0.6811266212627806,0.6751806963057745,1.3031127197744177,0.2770908268276322
1778-11-01,947,1864.0,1778,11,London,0.6811266212627806,0.6751806963057745,1.3031127197744177,0.2770908268276322
1778-12-01,948,1463.0,1778,12,London,0.6811266212627806,0.6751806963057745,1.3031127197744177,0.2770908268276322
1779-01-01,949,1416.0,1779,1,London,0.6787789066632589,0.6811266212627806,0.892039746312482,1.317617463060149
1779-02-01,950,1819.0,1779,2,London,0.6787789066632589,0.6811266212627806,0.892039746312482,1.317617463060149
1779-03-01,951,1965.0,1779,3,London,0.6787789066632589,0.6811266212627806,0.892039746312482,1.317617463060149
1779-04-01,952,1325.0,1779,4,London,0.6787789066632589,0.6811266212627806,0.892039746312482,1.317617463060149
1779-05-01,953,1774.0,1779,5,London,0.6787789066632589,0.6811266212627806,0.892039746312482,1.317617463060149
1779-06-01,954,1350.0,1779,6,London,0.6787789066632589,0.6811266212627806,0.892039746312482,1.317617463060149
1779-07-01,955,1442.0,1779,7,London,0.6787789066632589,0.6811266212627806,0.892039746312482,1.317617463060149
1779-08-01,956,1686.0,1779,8,London,0.6787789066632589,0.6811266212627806,0.892039746312482,1.317617463060149
1779-09-01,957,1693.0,1779,9,London,0.6787789066632589,0.6811266212627806,0.892039746312482,1.317617463060149
1779-10-01,958,1829.0,1779,10,London,0.6787789066632589,0.6811266212627806,0.892039746312482,1.317617463060149
1779-11-01,959,1961.0,1779,11,London,0.6787789066632589,0.6811266212627806,0.892039746312482,1.317617463060149
1779-12-01,960,1908.0,1779,12,London,0.6787789066632589,0.6811266212627806,0.892039746312482,1.317617463060149
1780-01-01,961,2200.0,1780,1,London,0.6737103549873128,0.6787789066632589,0.004561937467588553,0.9067714478920934
1780-02-01,962,2330.0,1780,2,London,0.6737103549873128,0.6787789066632589,0.004561937467588553,0.9067714478920934
1780-03-01,963,1882.0,1780,3,London,0.6737103549873128,0.6787789066632589,0.004561937467588553,0.9067714478920934
1780-04-01,964,1549.0,1780,4,London,0.6737103549873128,0.6787789066632589,0.004561937467588553,0.9067714478920934
1780-05-01,965,1957.0,1780,5,London,0.6737103549873128,0.6787789066632589,0.004561937467588553,0.9067714478920934
