week_date,time_idx,deaths,log_deaths,year,week_of_year,series_id,total_trials,violent_crime_prop_smooth,property_crime_prop_smooth,conviction_rate_smooth,death_sentence_rate_smooth,transport_rate_smooth,avg_punishment_score_smooth,disease_sentiment,hardship_sentiment,overall_distress_sentiment,conviction_rate_smooth_lag4w,hardship_sentiment_lag4w,violent_crime_prop_smooth_std,property_crime_prop_smooth_std,conviction_rate_smooth_std,death_sentence_rate_smooth_std,transport_rate_smooth_std,avg_punishment_score_smooth_std,disease_sentiment_std,hardship_sentiment_std,overall_distress_sentiment_std,conviction_rate_smooth_lag4w_std,hardship_sentiment_lag4w_std
1802-01-11,6471,336.0,5.820082930352362,1802,2,London,94.0,0.08205641535154679,0.912624435712283,0.7060547475031612,0.1551517437961099,0.32250586854460095,0.0,0.7123012212996788,0.7102184840973388,0.7123012212996788,0.707783996515019,0.7111023407948168,0.38664961847617624,0.8950740381726157,0.8936994727238533,0.5796499269858314,0.2695105172527139,0.0,0.8322677908656488,0.832691751408799,0.8322677908656488,0.899720033087948,0.8358241968093694
1802-01-18,6472,353.0,5.869296913133774,1802,3,London,94.0,0.08205641535154679,0.912624435712283,0.7060547475031612,0.1551517437961099,0.32250586854460095,0.0,0.7123012212996788,0.7102184840973388,0.7123012212996788,0.0,0.0,0.38664961847617624,0.8950740381726157,0.8936994727238533,0.5796499269858314,0.2695105172527139,0.0,0.8322677908656488,0.832691751408799,0.8322677908656488,-1.1731786124250538,-1.1980947343674035
1802-01-25,6473,460.0,6.133398042996649,1802,4,London,94.0,0.08205641535154679,0.912624435712283,0.7060547475031612,0.1551517437961099,0.32250586854460095,0.0,0.7123012212996788,0.7102184840973388,0.7123012212996788,0.0,0.0,0.38664961847617624,0.8950740381726157,0.8936994727238533,0.5796499269858314,0.2695105172527139,0.0,0.8322677908656488,0.832691751408799,0.8322677908656488,-1.1731786124250538,-1.1980947343674035
1802-02-01,6474,426.0,6.056784013228625,1802,5,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7060547475031612,0.7102184840973388,-0.8901058966296229,-1.1935588563288932,-1.1739631373162143,-0.8596117911698072,-0.8561380653818903,0.0,-1.1989552148187497,-1.1989417982646298,-1.1989552148187497,0.8946555530317666,0.8332961600327802
1802-02-08,6475,528.0,6.270988431858299,1802,6,London,92.0,0.06703842313593394,0.9276424279278959,0.6836937185262246,0.13146886638982824,0.35885338627509744,0.0,0.7114784082640773,0.7099114462085392,0.7114784082640773,0.7060547475031612,0.7102184840973388,0.15297740278221814,0.9294442252106334,0.8282157921719747,0.3599562387767729,0.39637497401518446,0.0,0.8299214285159658,0.8318134463662332,0.8299214285159658,0.8946555530317666,0.8332961600327802
1802-02-15,6476,538.0,6.289715570908998,1802,7,London,92.0,0.06703842313593394,0.9276424279278959,0.6836937185262246,0.13146886638982824,0.35885338627509744,0.0,0.7114784082640773,0.7099114462085392,0.7114784082640773,0.7060547475031612,0.7102184840973388,0.15297740278221814,0.9294442252106334,0.8282157921719747,0.3599562387767729,0.39637497401518446,0.0,0.8299214285159658,0.8318134463662332,0.8299214285159658,0.8946555530317666,0.8332961600327802
1802-02-22,6477,498.0,6.212606095751519,1802,8,London,92.0,0.06703842313593394,0.9276424279278959,0.6836937185262246,0.13146886638982824,0.35885338627509744,0.0,0.7114784082640773,0.7099114462085392,0.7114784082640773,0.7060547475031612,0.7102184840973388,0.15297740278221814,0.9294442252106334,0.8282157921719747,0.3599562387767729,0.39637497401518446,0.0,0.8299214285159658,0.8318134463662332,0.8299214285159658,0.8946555530317666,0.8332961600327802
1802-03-01,6478,418.0,6.037870919922137,1802,9,London,92.0,0.06703842313593394,0.9276424279278959,0.6836937185262246,0.13146886638982824,0.35885338627509744,0.0,0.7114784082640773,0.7099114462085392,0.7114784082640773,0.0,0.0,0.15297740278221814,0.9294442252106334,0.8282157921719747,0.3599562387767729,0.39637497401518446,0.0,0.8299214285159658,0.8318134463662332,0.8299214285159658,-1.1731786124250538,-1.1980947343674035
1802-03-08,6479,427.0,6.059123195581797,1802,10,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6836937185262246,0.7099114462085392,-0.8901058966296229,-1.1935588563288932,-1.1739631373162143,-0.8596117911698072,-0.8561380653818903,0.0,-1.1989552148187497,-1.1989417982646298,-1.1989552148187497,0.8291664392529907,0.8324179598936552
1802-03-15,6480,520.0,6.255750041753367,1802,11,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6836937185262246,0.7099114462085392,-0.8901058966296229,-1.1935588563288932,-1.1739631373162143,-0.8596117911698072,-0.8561380653818903,0.0,-1.1989552148187497,-1.1989417982646298,-1.1989552148187497,0.8291664392529907,0.8324179598936552
