week_date,time_idx,deaths,year,week_of_year,series_id,fear_score_weekly_mean,fear_score_weekly_mean_lag4w,feature_std,feature_lag_std
1708-02-06,1570,347.0,1708,6,London,0.6577469706535339,0.6537326574325562,-0.09345852097811004,-0.4525441469599673
1708-02-13,1571,417.0,1708,7,London,0.6577469706535339,0.6537326574325562,-0.09345852097811004,-0.4525441469599673
1708-02-20,1572,504.0,1708,8,London,0.6577469706535339,0.6537326574325562,-0.09345852097811004,-0.4525441469599673
1708-02-27,1573,532.0,1708,9,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1708-03-05,1574,489.0,1708,10,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1708-03-12,1575,458.0,1708,11,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1708-03-19,1576,458.0,1708,12,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1708-03-26,1577,447.0,1708,13,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1708-04-02,1578,482.0,1708,14,London,0.6417167782783508,0.6577469706535339,-1.5311436861612442,-0.09217993366061498
1708-04-09,1579,458.0,1708,15,London,0.6417167782783508,0.6577469706535339,-1.5311436861612442,-0.09217993366061498
1708-04-16,1580,427.0,1708,16,London,0.6417167782783508,0.6577469706535339,-1.5311436861612442,-0.09217993366061498
1708-04-23,1581,467.0,1708,17,London,0.6417167782783508,0.6577469706535339,-1.5311436861612442,-0.09217993366061498
1708-04-30,1582,393.0,1708,18,London,0.6577469706535339,0.6417167782783508,-0.09345852097811004,-1.5312075696040501
1708-05-07,1583,409.0,1708,19,London,0.6577469706535339,0.6417167782783508,-0.09345852097811004,-1.5312075696040501
1708-05-14,1584,472.0,1708,20,London,0.6577469706535339,0.6417167782783508,-0.09345852097811004,-1.5312075696040501
1708-05-21,1585,377.0,1708,21,London,0.6577469706535339,0.6417167782783508,-0.09345852097811004,-1.5312075696040501
1708-05-28,1586,411.0,1708,22,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1708-06-04,1587,381.0,1708,23,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1708-06-11,1588,391.0,1708,24,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1708-06-18,1589,426.0,1708,25,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1708-06-25,1590,356.0,1708,26,London,0.6542121171951294,0.6577469706535339,-0.41048568193171997,-0.09217993366061498
1708-07-02,1591,354.0,1708,27,London,0.6542121171951294,0.6577469706535339,-0.41048568193171997,-0.09217993366061498
1708-07-09,1592,325.0,1708,28,London,0.6542121171951294,0.6577469706535339,-0.41048568193171997,-0.09217993366061498
1708-07-16,1593,297.0,1708,29,London,0.6542121171951294,0.6577469706535339,-0.41048568193171997,-0.09217993366061498
1708-07-23,1594,348.0,1708,30,London,0.6577469706535339,0.6542121171951294,-0.09345852097811004,-0.4095031258344867
1708-07-30,1595,348.0,1708,31,London,0.6577469706535339,0.6542121171951294,-0.09345852097811004,-0.4095031258344867
1708-08-06,1596,300.0,1708,32,London,0.6577469706535339,0.6542121171951294,-0.09345852097811004,-0.4095031258344867
1708-08-13,1597,338.0,1708,33,London,0.6577469706535339,0.6542121171951294,-0.09345852097811004,-0.4095031258344867
1708-08-20,1598,363.0,1708,34,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1708-08-27,1599,361.0,1708,35,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1708-09-03,1600,397.0,1708,36,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1708-09-10,1601,401.0,1708,37,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1708-09-17,1602,413.0,1708,38,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1708-09-24,1603,484.0,1708,39,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1708-10-01,1604,461.0,1708,40,London,0.6484072208404541,0.6577469706535339,-0.9311040986802585,-0.09217993366061498
1708-10-08,1605,429.0,1708,41,London,0.6484072208404541,0.6577469706535339,-0.9311040986802585,-0.09217993366061498
